№,Date,Time,Username,Profile,Comment,Price
358,2026-04-15,13:22:27,nxhf,1H,up-730-04.13.26-1h,500.0
359,2026-04-15,14:13:31,cnjc,1H,up-730-04.13.26-1h,500.0
360,2026-04-15,14:24:08,zjmn,1H,up-730-04.13.26-1h,500.0
361,2026-04-15,16:21:04,hjba,1H,up-730-04.13.26-1h,500.0
362,2026-04-15,16:45:51,pigs,1H,up-730-04.13.26-1h,500.0
363,2026-04-15,17:39:41,ihct,1H,up-730-04.13.26-1h,500.0
364,2026-04-15,20:29:38,ftsj,1H,up-730-04.13.26-1h,500.0
365,2026-04-16,08:12:52,rygg,1H,up-730-04.13.26-1h,500.0
366,2026-04-16,12:40:50,tmad,1H,up-730-04.13.26-1h,500.0
367,2026-04-16,14:04:11,nsuz,1H,up-730-04.13.26-1h,500.0
368,2026-04-16,16:03:40,jtfh,1H,up-730-04.13.26-1h,500.0
369,2026-04-16,18:45:53,wjmb,1H,up-730-04.13.26-1h,500.0
370,2026-04-16,19:51:44,ydvi,1H,up-730-04.13.26-1h,500.0
371,2026-04-16,19:53:40,xmvn,1H,up-730-04.13.26-1h,500.0
372,2026-04-16,19:54:14,cmbu,1H,up-730-04.13.26-1h,500.0
373,2026-04-17,11:15:49,xxvi,1H,up-730-04.13.26-1h,500.0
374,2026-04-17,11:18:25,uujx,1H,up-730-04.13.26-1h,500.0
375,2026-04-17,11:50:12,pabc,1H,up-730-04.13.26-1h,500.0
376,2026-04-17,11:53:30,bgvb,1H,up-730-04.13.26-1h,500.0
377,2026-04-17,13:12:35,pyfy,1H,up-730-04.13.26-1h,500.0
378,2026-04-17,15:32:51,urjf,1H,up-730-04.13.26-1h,500.0
379,2026-04-17,15:58:23,ixkv,1H,up-339-04.10.26-1h,500.0
380,2026-04-17,16:39:05,bihv,1H,up-730-04.13.26-1h,500.0
381,2026-04-17,16:50:01,bctz,1H,up-339-04.10.26-1h,500.0
382,2026-04-17,17:00:59,btje,1H,up-730-04.13.26-1h,500.0
383,2026-04-17,17:31:11,rehx,1H,up-730-04.13.26-1h,500.0
384,2026-04-17,18:00:38,tyyx,1H,up-730-04.13.26-1h,500.0
385,2026-04-17,18:24:03,zcbf,1H,up-339-04.10.26-1h,500.0
386,2026-04-17,18:38:04,acvv,1H,up-734-04.17.26-,500.0
387,2026-04-17,19:55:26,gkhc,1H,up-331-04.17.26-1h,500.0
388,2026-04-17,20:27:42,gepy,1H,up-331-04.17.26-1h,500.0
389,2026-04-18,08:46:07,ikzt,1H,up-331-04.17.26-1h,500.0
390,2026-04-18,10:23:01,spgc,1H,up-331-04.17.26-1h,500.0
391,2026-04-18,10:23:21,gwxk,1H,up-331-04.17.26-1h,500.0
392,2026-04-18,12:57:04,fnpc,1H,up-331-04.17.26-1h,500.0
393,2026-04-18,13:27:07,rrur,1H,up-331-04.17.26-1h,500.0
394,2026-04-18,14:34:08,ijdi,1H,up-331-04.17.26-1h,500.0
395,2026-04-18,18:22:00,fshc,1H,up-331-04.17.26-1h,500.0
396,2026-04-18,20:16:16,jres,1H,up-331-04.17.26-1h,500.0
397,2026-04-19,09:41:04,ywfv,1H,up-331-04.17.26-1h,500.0
398,2026-04-19,11:05:59,pznj,1H,up-331-04.17.26-1h,500.0
399,2026-04-19,11:57:50,vnmf,1H,up-331-04.17.26-1h,500.0
400,2026-04-19,12:03:27,wtnn,1H,up-331-04.17.26-1h,500.0
401,2026-04-19,12:59:33,bvfk,1H,up-331-04.17.26-1h,500.0
402,2026-04-19,13:10:13,xzam,1H,up-331-04.17.26-1h,500.0
403,2026-04-19,13:22:34,xkce,1H,up-331-04.17.26-1h,500.0
404,2026-04-19,13:48:20,sjyg,1H,up-331-04.17.26-1h,500.0
405,2026-04-19,14:20:55,zhxs,1H,up-331-04.17.26-1h,500.0
406,2026-04-19,14:44:29,anhx,1H,up-331-04.17.26-1h,500.0
407,2026-04-19,15:48:59,dkhr,1H,up-331-04.17.26-1h,500.0
408,2026-04-19,16:58:01,fhur,1H,up-331-04.17.26-1h,500.0
409,2026-04-19,17:06:49,cwdd,1H,up-331-04.17.26-1h,500.0
410,2026-04-19,17:30:14,btev,1H,up-331-04.17.26-1h,500.0
411,2026-04-19,17:38:55,szea,1H,up-331-04.17.26-1h,500.0
412,2026-04-19,18:06:53,euym,1H,up-331-04.17.26-1h,500.0
413,2026-04-19,19:06:17,knkt,1H,up-331-04.17.26-1h,500.0
414,2026-04-20,08:16:34,iveu,1H,up-331-04.17.26-1h,500.0
415,2026-04-20,09:31:44,zzcw,1H,up-331-04.17.26-1h,500.0
416,2026-04-20,10:11:23,raus,1H,up-331-04.17.26-1h,500.0
417,2026-04-20,10:13:50,hkpz,1H,up-331-04.17.26-1h,500.0
418,2026-04-20,10:25:34,haiu,1H,up-331-04.17.26-1h,500.0
419,2026-04-20,12:00:50,bpwt,1H,up-331-04.17.26-1h,500.0
420,2026-04-20,14:28:43,tevd,1H,up-331-04.17.26-1h,500.0
421,2026-04-20,15:33:51,gyfs,1H,up-331-04.17.26-1h,500.0
422,2026-04-20,16:36:12,ubvy,1H,up-331-04.17.26-1h,500.0
423,2026-04-20,17:17:19,ezys,1H,up-508-04.20.26-,500.0
424,2026-04-20,17:58:37,zwhf,1H,up-424-04.20.26-1h,500.0
425,2026-04-20,18:19:17,vyge,1H,up-424-04.20.26-1h,500.0
426,2026-04-20,18:49:19,drxe,1H,up-424-04.20.26-1h,500.0
427,2026-04-20,19:59:53,gazb,1H,up-424-04.20.26-1h,500.0
428,2026-04-21,09:29:05,nejy,1H,up-424-04.20.26-1h,500.0
429,2026-04-21,10:36:40,ngud,1H,up-424-04.20.26-1h,500.0
430,2026-04-21,12:37:47,drxg,1H,up-424-04.20.26-1h,500.0
431,2026-04-21,15:20:35,jdbc,1H,up-424-04.20.26-1h,500.0
432,2026-04-21,18:59:16,rnff,1H,up-424-04.20.26-1h,500.0
433,2026-04-22,08:35:47,psnw,1H,up-424-04.20.26-1h,500.0
434,2026-04-22,09:37:11,zyia,1H,up-424-04.20.26-1h,500.0
435,2026-04-22,09:37:52,wwrg,1H,up-424-04.20.26-1h,500.0
436,2026-04-22,10:08:49,vjmg,1H,up-424-04.20.26-1h,500.0
437,2026-04-22,11:20:13,wkyy,1H,up-424-04.20.26-1h,500.0
438,2026-04-22,11:46:45,dida,1H,up-424-04.20.26-1h,500.0
439,2026-04-22,11:50:39,fjhn,1H,up-424-04.20.26-1h,500.0
440,2026-04-22,13:53:19,ehfk,1H,up-424-04.20.26-1h,500.0
441,2026-04-22,14:17:49,vayy,1H,up-424-04.20.26-1h,500.0
442,2026-04-22,14:20:22,yfie,1H,up-424-04.20.26-1h,500.0
443,2026-04-22,14:50:38,hxeg,1H,up-424-04.20.26-1h,500.0
444,2026-04-22,15:48:47,usve,1H,up-424-04.20.26-1h,500.0
445,2026-04-22,15:50:54,ryvk,1H,up-424-04.20.26-1h,500.0
446,2026-04-22,16:26:21,gcdx,1H,up-424-04.20.26-1h,500.0
447,2026-04-22,16:36:32,tfzt,1H,up-424-04.20.26-1h,500.0
448,2026-04-22,16:59:45,rfsn,1H,up-424-04.20.26-1h,500.0
449,2026-04-23,08:51:15,gvkd,1H,up-609-04.22.26-1h,500.0
450,2026-04-23,11:27:39,ytpg,1H,up-609-04.22.26-1h,500.0
451,2026-04-23,12:01:29,rpki,1H,up-609-04.22.26-1h,500.0
452,2026-04-23,12:33:01,eyhs,1H,up-609-04.22.26-1h,500.0
453,2026-04-23,12:33:27,nmyr,1H,up-609-04.22.26-1h,500.0
454,2026-04-23,13:05:28,crww,1H,up-609-04.22.26-1h,500.0
455,2026-04-23,13:40:16,efih,1H,up-609-04.22.26-1h,500.0
456,2026-04-23,15:59:46,ficg,1H,up-609-04.22.26-1h,500.0
457,2026-04-23,16:00:13,wpxf,1H,up-609-04.22.26-1h,500.0
458,2026-04-23,16:00:16,itee,1H,up-609-04.22.26-1h,500.0
459,2026-04-23,16:00:22,verk,1H,up-609-04.22.26-1h,500.0
460,2026-04-23,16:21:38,ytgw,1H,up-609-04.22.26-1h,500.0
461,2026-04-23,16:39:23,exmh,1H,up-609-04.22.26-1h,500.0
462,2026-04-23,17:45:10,tnng,1H,up-609-04.22.26-1h,500.0
463,2026-04-23,19:47:37,rsph,1H,up-609-04.22.26-1h,500.0
464,2026-04-24,11:06:06,pizj,1H,up-424-04.20.26-1h,500.0
465,2026-04-24,11:35:17,zzmy,1H,up-424-04.20.26-1h,500.0
466,2026-04-24,09:10:43,uvzy,1H,up-609-04.22.26-1h,500.0
467,2026-04-24,09:36:05,xcjv,1H,up-609-04.22.26-1h,500.0
468,2026-04-24,10:01:08,dakm,1H,up-609-04.22.26-1h,500.0
469,2026-04-24,10:38:50,ckyb,1H,up-609-04.22.26-1h,500.0
470,2026-04-24,12:41:01,rsgr,1H,up-609-04.22.26-1h,500.0
471,2026-04-25,11:07:16,hrvr,1H,up-609-04.22.26-1h,500.0
472,2026-04-25,14:53:43,kvec,1H,up-609-04.22.26-1h,500.0
473,2026-04-25,14:59:29,nyev,1H,up-609-04.22.26-1h,500.0
474,2026-04-25,15:56:16,krwm,1H,up-609-04.22.26-1h,500.0
475,2026-04-25,15:56:24,thai,1H,up-609-04.22.26-1h,500.0
476,2026-04-25,16:03:10,spdw,1H,up-609-04.22.26-1h,500.0
477,2026-04-25,16:47:51,tzgn,1H,up-609-04.22.26-1h,500.0
478,2026-04-25,17:07:18,ujgj,1H,up-609-04.22.26-1h,500.0
479,2026-04-25,19:17:50,grxv,1H,up-609-04.22.26-1h,500.0
480,2026-04-26,09:45:07,cgyz,1H,up-609-04.22.26-1h,500.0
481,2026-04-26,10:21:02,kbpr,1H,up-609-04.22.26-1h,500.0
482,2026-04-26,10:21:35,ygds,1H,up-609-04.22.26-1h,500.0
483,2026-04-26,10:29:08,jpxj,1H,up-609-04.22.26-1h,500.0
484,2026-04-26,11:06:34,vbfi,1H,up-609-04.22.26-1h,500.0
485,2026-05-01,07:01:42,dpxa,1H,up-,500.0
486,2026-05-01,08:54:18,pddp,1H,up-,500.0
487,2026-05-01,08:55:36,steb,1H,up-,500.0
488,2026-05-01,10:13:53,djxy,1H,up-,500.0
489,2026-05-01,10:32:51,ytpx,1H,up-,500.0
490,2026-05-01,11:19:39,xjzz,1H,up-,500.0
491,2026-05-01,12:04:20,fbkd,1H,up-,500.0
492,2026-05-01,12:19:37,wavm,1H,up-,500.0
493,2026-05-01,13:15:34,yadn,1H,up-,500.0
494,2026-05-01,16:59:19,bawx,1H,up-632-05.01.26-,500.0
495,2026-05-01,17:22:51,mdtf,1H,up-,500.0
496,2026-05-01,18:17:16,nrar,1H,up-,500.0
497,2026-05-02,06:01:11,fryw,1H,up-862-05.02.26-,500.0
498,2026-05-02,06:05:49,cvxk,1H,up-279-05.02.26-,500.0
499,2026-05-02,06:25:49,desz,1H,up-835-05.02.26-,500.0
500,2026-05-02,06:50:22,ppnd,1H,up-864-05.02.26-,500.0
501,2026-05-02,07:01:11,hrxj,1H,up-864-05.02.26-,500.0
502,2026-05-02,19:30:45,mcza,1H,up-,500.0
503,2025-12-30,00:00:00,cjan,ILLIMITER-1mois-,up-147-12.30.25-ILLIMITER,0.0
504,2025-12-31,00:00:00,smzj,ILLIMITER-1mois-,up-238-12.31.25-dada,0.0
505,2025-12-31,00:00:00,vjrt,ILLIMITER-1mois-,up-238-12.31.25-dada,0.0
506,2026-01-02,00:00:00,jvmg,1H,up-896-01.02.26-fifa,500.0
507,2026-05-04,11:18:31,fifa,1H,2026-05-04 11:18:31,500.0
508,2026-01-03,00:00:00,hmtm,1H,up-875-01.03.26-,500.0
509,2026-01-03,00:00:00,nkdh,1H,up-875-01.03.26-,500.0
510,2026-01-03,00:00:00,xakt,1H,up-875-01.03.26-,500.0
511,2026-01-03,00:00:00,exii,1H,up-875-01.03.26-,500.0
512,2026-05-02,15:06:18,frwb,1H,2026-05-02 15:06:18,500.0
513,2026-05-02,16:22:17,ifde,1H,2026-05-02 16:22:17,500.0
514,2026-05-03,13:27:49,cxfb,1H,2026-05-03 13:27:49,500.0
515,2026-05-01,19:50:01,wzem,1H,2026-05-01 19:50:01,500.0
516,2026-05-03,12:11:35,rvsh,1H,2026-05-03 12:11:35,500.0
517,2026-05-03,13:24:52,juvy,1H,2026-05-03 13:24:52,500.0
518,2026-05-03,12:54:44,fecv,1H,2026-05-03 12:54:44,500.0
519,2026-05-03,11:37:04,vgdu,1H,2026-05-03 11:37:04,500.0
520,2026-05-03,10:52:34,hdrm,1H,2026-05-03 10:52:34,500.0
521,,,mhza,1H,up-,500.0
522,2026-05-01,19:43:44,vfkk,1H,2026-05-01 19:43:44,500.0
523,2026-05-03,19:26:27,zcfn,1H,2026-05-03 19:26:27,500.0
524,2026-05-02,11:26:08,uxen,1H,2026-05-02 11:26:08,500.0
525,2026-05-02,13:21:21,hnrj,1H,2026-05-02 13:21:21,500.0
526,2026-05-03,18:15:00,nvtd,1H,2026-05-03 18:15:00,500.0
527,2026-05-03,18:36:40,uanr,1H,2026-05-03 18:36:40,500.0
528,2026-05-03,18:51:30,jwac,1H,2026-05-03 18:51:30,500.0
529,2026-05-07,15:47:10,nkrv,1H,2026-05-07 15:47:10,500.0
530,,,dkak,1H,up-,500.0
531,2026-05-02,00:00:00,mcbn,1H,up-155-05.02.26-,500.0
532,2026-05-02,07:57:12,brna,1H,2026-05-02 07:57:12,500.0
533,2026-05-03,17:13:49,myxx,1H,2026-05-03 17:13:49,500.0
534,2026-05-03,00:00:00,hdth,1H,up-860-05.03.26-,500.0
535,2026-05-03,00:00:00,zjtn,1H,up-860-05.03.26-,500.0
536,2026-05-03,00:00:00,njpt,1H,up-860-05.03.26-,500.0
537,2026-05-03,00:00:00,wxdm,1H,up-860-05.03.26-,500.0
538,2026-05-03,00:00:00,rrbu,1H,up-860-05.03.26-,500.0
539,2026-05-04,17:59:46,huwe,1H,2026-05-04 17:59:46,500.0
540,2026-05-06,19:38:08,etrg,1H,2026-05-06 19:38:08,500.0
541,2026-05-07,19:47:28,dmtp,1H,2026-05-07 19:47:28,500.0
542,2026-05-03,19:42:41,auwx,1H,2026-05-03 19:42:41,500.0
543,2026-05-06,19:50:57,khvw,1H,2026-05-06 19:50:57,500.0
544,2026-05-07,15:26:43,hxhh,1H,2026-05-07 15:26:43,500.0
545,2026-05-03,19:41:25,ffdz,1H,2026-05-03 19:41:25,500.0
546,2026-05-06,20:55:52,bcap,1H,2026-05-06 20:55:52,500.0
547,2026-05-07,09:38:17,mgsy,1H,2026-05-07 09:38:17,500.0
548,2026-05-03,00:00:00,gkxt,1H,up-352-05.03.26-,500.0
549,2026-05-04,18:54:15,eijt,1H,2026-05-04 18:54:15,500.0
550,2026-05-06,17:08:16,zwat,1H,2026-05-06 17:08:16,500.0
551,2026-05-07,12:10:31,jpji,1H,2026-05-07 12:10:31,500.0
552,2026-05-04,19:36:40,diim,1H,2026-05-04 19:36:40,500.0
553,2026-05-06,17:07:26,bxpw,1H,2026-05-06 17:07:26,500.0
554,2026-05-07,11:54:54,vzxd,1H,2026-05-07 11:54:54,500.0
555,2026-05-06,17:29:45,dgae,1H,2026-05-06 17:29:45,500.0
556,2026-05-06,16:45:51,xsss,1H,2026-05-06 16:45:51,500.0
557,2026-05-05,11:47:13,uvri,1H,2026-05-05 11:47:13,500.0
558,2026-05-05,20:31:16,kksa,1H,2026-05-05 20:31:16,500.0
559,2026-05-06,09:44:49,vimi,1H,2026-05-06 09:44:49,500.0
560,2026-05-05,11:41:10,mhxe,1H,2026-05-05 11:41:10,500.0
561,2026-05-05,19:02:34,hbpf,1H,2026-05-05 19:02:34,500.0
562,2026-05-06,19:38:17,aghf,1H,2026-05-06 19:38:17,500.0
563,2026-05-04,17:15:29,hvwy,1H,2026-05-04 17:15:29,500.0
564,2026-05-04,09:01:55,aizc,1H,2026-05-04 09:01:55,500.0
565,2026-05-05,11:38:33,vsim,1H,2026-05-05 11:38:33,500.0
566,2026-05-05,12:42:56,knww,1H,2026-05-05 12:42:56,500.0
567,2026-05-06,17:26:58,trcx,1H,2026-05-06 17:26:58,500.0
568,2026-05-06,16:41:23,iuyj,1H,2026-05-06 16:41:23,500.0
569,2026-05-05,11:53:45,dsac,1H,2026-05-05 11:53:45,500.0
570,2026-05-06,11:27:22,udfv,1H,2026-05-06 11:27:22,500.0
571,2026-05-06,16:43:14,awee,1H,2026-05-06 16:43:14,500.0
572,2026-05-06,19:00:42,rpub,1H,2026-05-06 19:00:42,500.0
573,2026-05-06,16:02:09,hbpc,1H,2026-05-06 16:02:09,500.0
574,2026-05-05,09:09:34,ycmd,1H,2026-05-05 09:09:34,500.0
575,2026-05-04,00:00:00,pxrz,1H,up-217-05.04.26-,500.0
576,2026-05-07,17:34:51,dman,1H,2026-05-07 17:34:51,500.0
577,2026-05-07,18:42:54,dpiu,1H,2026-05-07 18:42:54,500.0
578,2026-05-07,18:37:09,mmef,1H,2026-05-07 18:37:09,500.0
579,2026-05-07,17:16:03,guuf,1H,2026-05-07 17:16:03,500.0
580,2026-05-07,00:00:00,wngt,500Ar-45min,up-421-05.07.26-45m,500.0
581,2026-05-07,00:00:00,nnsk,500Ar-45min,up-421-05.07.26-45m,500.0
582,2026-05-08,09:23:47,gbni,500Ar-45min,2026-05-08 09:23:47,500.0
583,2026-05-07,00:00:00,vyph,500Ar-45min,up-421-05.07.26-45m,500.0
584,2026-05-08,20:11:37,wwra,500Ar-45min,2026-05-08 20:11:37,500.0
585,2026-05-08,16:12:59,dnie,500Ar-45min,2026-05-08 16:12:59,500.0
586,2026-05-07,00:00:00,kvnr,500Ar-45min,up-421-05.07.26-45m,500.0
587,2026-05-07,00:00:00,niza,500Ar-45min,up-421-05.07.26-45m,500.0
588,2026-05-07,00:00:00,ezhe,500Ar-45min,up-421-05.07.26-45m,500.0
589,2026-05-07,00:00:00,bijw,500Ar-45min,up-421-05.07.26-45m,500.0
590,2026-05-08,19:47:17,aizt,500Ar-45min,2026-05-08 19:47:17,500.0
591,2026-05-07,00:00:00,trtp,500Ar-45min,up-421-05.07.26-45m,500.0
592,2026-05-07,00:00:00,yzkf,500Ar-45min,up-421-05.07.26-45m,500.0
593,2026-05-07,00:00:00,jcwh,500Ar-45min,up-421-05.07.26-45m,500.0
594,2026-05-07,00:00:00,yvus,500Ar-45min,up-421-05.07.26-45m,500.0
595,2026-05-07,00:00:00,evwa,500Ar-45min,up-421-05.07.26-45m,500.0
596,2026-05-07,00:00:00,axxd,500Ar-45min,up-421-05.07.26-45m,500.0
597,2026-05-07,00:00:00,ctst,500Ar-45min,up-421-05.07.26-45m,500.0
598,2026-05-07,00:00:00,edxn,500Ar-45min,up-421-05.07.26-45m,500.0
599,2026-05-07,00:00:00,cwii,500Ar-45min,up-421-05.07.26-45m,500.0
600,2026-05-08,09:39:45,mruy,500Ar-45min,2026-05-08 09:39:45,500.0
601,2026-05-07,00:00:00,eexz,500Ar-45min,up-421-05.07.26-45m,500.0
602,2026-05-07,00:00:00,xhkg,500Ar-45min,up-421-05.07.26-45m,500.0
603,2026-05-08,12:38:31,ivfn,500Ar-45min,2026-05-08 12:38:31,500.0
604,2026-05-08,18:07:43,igzp,500Ar-45min,2026-05-08 18:07:43,500.0
605,2026-05-07,00:00:00,rpkc,500Ar-45min,up-421-05.07.26-45m,500.0
606,2026-05-07,00:00:00,yjiw,500Ar-45min,up-421-05.07.26-45m,500.0
607,2026-05-07,00:00:00,pmrw,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
608,2026-05-07,00:00:00,vpcf,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
609,2026-05-07,00:00:00,vicg,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
610,2026-05-08,10:07:03,irht,1000Ar-1h30,2026-05-08 10:07:03,1000.0
611,2026-05-07,00:00:00,fcpg,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
612,2026-05-07,00:00:00,ennu,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
613,2026-05-07,00:00:00,yszx,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
614,2026-05-07,00:00:00,egsj,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
615,2026-05-07,00:00:00,vcic,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
616,2026-05-07,00:00:00,kxvs,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
617,2026-05-07,00:00:00,xiux,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
618,2026-05-07,00:00:00,xhym,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
619,2026-05-07,00:00:00,embg,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
620,2026-05-07,00:00:00,przy,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
621,2026-05-07,00:00:00,ukig,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
622,2026-05-07,00:00:00,muaz,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
623,2026-05-07,00:00:00,mfrw,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
624,2026-05-07,00:00:00,ptap,1000Ar-1h30,up-990-05.07.26-1h30,1000.0
